domain,status,source_ids
constitutional_state,A0_CLOSED,FR-SRC-0001;FR-SRC-0002;FR-SRC-0003
territorial_government,A0_CLOSED,FR-SRC-0004
macro_public_finance,A0_CLOSED,FR-SRC-0010;FR-SRC-0011;FR-SRC-0012
social_protection_health_finance,A0_CLOSED,FR-SRC-0013;FR-SRC-0014
state_ownership,A0_CLOSED,FR-SRC-0020;FR-SRC-0021
corporate_ownership_graph,A0_SOURCE_ROUTE_CLOSED_ACTOR_GRAPH_OPEN,FR-SRC-0022;FR-SRC-0023;FR-SRC-0024;FR-SRC-0025
corporate_financing_graph,A1_OPEN_ACCESS_CONSTRAINED,FR-SRC-0026;FR-SRC-0032
banking_insurance,A0_CLOSED,FR-SRC-0030;FR-SRC-0031;FR-SRC-0033
capital_markets,A0_CLOSED,FR-SRC-0034
competition,A0_CLOSED,FR-SRC-0040
procurement,A0_DATA_ROUTE_CLOSED,FR-SRC-0041;FR-SRC-0042
business_aid,A0_METHOD_CLOSED_DATA_INVENTORY_OPEN,FR-SRC-0043
media_ownership_pluralism,A0_METHOD_CLOSED_2026_ACTOR_UPDATE_OPEN,FR-SRC-0050;FR-SRC-0051;FR-SRC-0052
public_media,A0_CLOSED,FR-SRC-0053;FR-SRC-0054
platforms_information_distribution,A0_SOURCE_ROUTE_CLOSED_ACTOR_METRICS_OPEN,FR-SRC-0055;FR-SRC-0056
telecom_infrastructure,A0_CLOSED,FR-SRC-0060;FR-SRC-0061
data_privacy,A0_CLOSED,FR-SRC-0062
cybersecurity,A0_CLOSED,FR-SRC-0063
energy,A0_CLOSED,FR-SRC-0070;FR-SRC-0071;FR-SRC-0072
lobbying_revolving_doors,A0_SOURCE_ROUTE_CLOSED_RECORD_EXTRACTION_OPEN,FR-SRC-0080
labor_social_partners,A0_CLOSED,FR-SRC-0081;FR-SRC-0082;FR-SRC-0083
health_expertise_medicines,A0_CLOSED,FR-SRC-0090;FR-SRC-0091
defense_industry,A0_SOURCE_ROUTE_CLOSED_ACTOR_DEPENDENCY_OPEN,FR-SRC-0100;FR-SRC-0101
eu_fiscal_economic,A0_CLOSED,FR-SRC-0110;FR-SRC-0111
monetary_policy,A0_CLOSED,FR-SRC-0112;FR-SRC-0113
rule_of_law_human_rights,A0_CLOSED,FR-SRC-0114;FR-SRC-0115
advertising_market,A0_GAP,
transport_logistics,A0_GAP,
retail_food,A0_GAP,
construction_infrastructure,A0_GAP,
professional_orders,A1_GAP,
associations_ngos_foundations,A1_GAP,
think_tanks_universities_expertise_network,A1_GAP,
people_governance_revolving_network,A1_GAP,FR-SRC-0080;FR-SRC-0022;FR-SRC-0034
